Distance[mm],Curvature[1/m],TSlope[%],LSlope[%],Radius[m]
10000,0.001050334,-4.27,1.48,952.1
20000,-0.009362244,-4.31,0.93,106.8
30000,0.005034820,-2.88,1.05,198.6
40000,0.014394051,-1.72,0.82,69.5
50000,-0.007759198,-2.68,-0.43,128.9
60000,-0.001808968,-1.97,0.24,552.8
70000,-0.000194855,-0.27,0.96,1000.0
80000,0.000606520,-0.81,0.40,1000.0
90000,-0.000250902,-2.08,0.81,1000.0
100000,-0.000429758,-2.29,0.28,1000.0
110000,0.000546783,-2.28,-0.99,1000.0
120000,0.000899986,-2.09,-1.66,1000.0
130000,0.000083529,-2.46,-1.11,1000.0
140000,0.000304575,-3.19,0.10,1000.0
150000,-0.000870605,-0.95,1.67,1000.0
160000,0.000687158,3.21,2.41,1000.0
170000,0.002126269,5.50,2.15,470.3
180000,0.003015082,5.48,2.00,331.7
190000,-0.001691580,4.19,2.08,591.2
